wikidata,label
Q18389586,"The Dressmaker (Jocelyn Moorhouse, 2015)"
Q3415674,"Drift (Morgan O'Neill, 2013)"
Q15039740,"Drive Hard (Brian Trenchard-Smith, 2014)"
Q106093003,"The Drover’s Wife (Leah Purcell, 2021)"
Q21186168,"Drown (Dean Francis, 2015)"
Q104374134,"The Dry (Robert Connolly, 2020)"
Q5316988,"Dust Off the Wings (Lee Rogers, 1997)"
Q110518235,"The Dustwalker (Sandra Sciberras, 2019)"
Q115394,"Dying Breed (Jody Dwyer, 2008)"
Q23929932,"Early Winter (Michael Rowe, 2015)"
Q5348951,"Eight Ball (Ray Argall, 1992)"
Q107105075,"Ellie and Abbie (and Ellie's Dead Aunt) (Monica Zanetti, 2020)"
Q127543876,Ellipsis (2018)
Q5367072,Eloise (2002)
Q5368741,"Em4Jay (Alkinos Tsilimidos, 2008)"
Q104177851,Emu Runner (2018)
Q127600266,Emulsion (2006)
Q5375590,"Encounters (Murray Fahey, 1993)"
Q118946028,Envy
Q3415982,"Epsilon (Rolf de Heer, 1997)"
Q4532625,"Erskineville Kings (Alan White, 1999)"
Q120169016,Q120169016
Q62075994,"Escape from Pretoria (Francis Annan, 2020)"
Q59453151,"Event Zero (Enzo Tedeschi, 2017)"
Q5417859,"Everynight ... Everynight (Alkinos Tsilimidos, 1994)"
Q4081065,"Exchange Lifeguards (Maurice Murphy, 1992)"
Q5420265,"Exile (Paul Cox, 1994)"
Q7732882,"The Extra (Kevin Carlin, 2005)"
Q3520813,"The Eye of the Storm (Fred Schepisi, 2011)"
Q5428410,"Face to Face (Michael Rymer, 2011)"
Q5437219,"Fat Pizza (Paul Fenech, 2003)"
Q5437280,"Fatal Bond (Vince Monton, 1992)"
Q4380063,"Fatal Sky (Frank Shields, 1990)"
Q5437557,"Father (John Power, 1990)"
Q127600946,The Fear Of Darkness (2014)
Q1400892,"Feed (Brett Leonard, 2005)"
Q122912812,Fell
Q3068196,"Felony (Matthew Saville, 2013)"
Q198560,"A Few Best Men (Stephan Elliott, 2011)"
Q29907988,"A Few Less Men (Mark Lamprell, 2017)"
Q4550854,"15 Amore (Maurice Murphy, 1999)"
Q127600283,Fat Legs (2016)
Q7733953,"The Final Winter (Brian Andrews/Jane Forrest, 2007)"
Q127600701,Finding Joy (2003)
Q7733988,"The Finished People (Khoa Do, 2003)"
Q5455347,"Fistful of Flies (Monica Pellizzari, 1996)"
Q127599958,The Five Provocations (2018)
Q127665,"Flirting (John Duigan, 1991)"
Q5459878,"Floating Life (Clara Law, 1996)"
Q122925839,The Flood
Q5463640,"Flynn (Frank Howson, 1993)"
Q5466613,"Footy Legends (Khoa Do, 2006)"
Q130465585,For Now
Q127600392,"Force Of Destiny (Paul Cox, 2015)"
Q612373,"Fortress (Stuart Gordon, 1992)"
Q132636563,"Fortune (Peter Scarf, 2009)"
Q4638652,"48 Shades (Daniel Lapaine, 2006)"
Q5475706,"Four of a Kind (Fiona Cochrane, 2008)"
Q594030,"Frauds (Stephan Elliott, 1993)"
Q127600104,Freedom Deep (1997)
Q5502935,"Fresh Air (Murray Fahey, 1999)"
Q109442804,The Furnace (2020)
Q2638438,"Gabriel (Rita Lengyel/Shane Abbess, 2007)"
Q67098007,"Galore (Rhys Graham, 2013)"
Q3007933,"Garage Days (Alex Proyas, 2002)"
Q5522034,"Garbo (Ron Cobb, 1992)"
Q127600199,The Gates Of Hell (2008)
Q107570772,The Gateway (John V. Soto)
Q5553798,"Get Away, Get Away (Murray Fahey, 1992)"
Q5554560,"Gettin' Square (Jonathan Teplitzky, 2003)"
Q5563206,"Gino (Jackie McKimmie, 1993)"
Q21010855,"Girl Asleep (Rosemary Myers, 2015)"
Q90297034,"Go Karts (Owen Trevor, 2020)"
Q5576273,"Goddess (Mark Lamprell, 2013)"
Q1138902,"The Goddess of 1967 (Clara Law, 2000)"
Q17005455,"Golden Braid (Paul Cox, 1990)"
Q25136735,"Goldstone (Ivan Sen, 2016)"
Q1537088,"Gone (Ringan Ledwidge, 2007)"
Q892735,"The Great Gatsby (Baz Luhrmann, 2013)"
Q105102351,Great White (2021)
Q505135,"Green Card (Peter Weir, 1990)"
Q5604194,"Greenkeeping (David Caesar, 1992)"
Q5608758,"Griff the Invisible (Leon Ford, 2010)"
Q28369717,"Gringo (Nash Edgerton, 2018)"
Q2515683,"Gross Misconduct (George T. Miller, 1993)"
Q86501880,"H Is for Happiness (John Sheedy, 2019)"
Q21010856,"Hacksaw Ridge (Mel Gibson, 2016)"
Q16641112,"Hail (Amiel Courtin-Wilson, 2011)"
Q3545539,"Hammers Over the Anvil (Ann Turner, 1993)"
Q126800,"Happy Feet (George Miller, 2006)"
Q816857,"Happy Feet Two (George Miller, 2011)"
Q5654787,"Harbour Beat (David Elfick, 1990)"
Q600253,"The Hard Word (Scott Roberts, 2002)"
Q56596889,Harmony (2018)
Q3285042,"Hating Alison Ashley (Geoff Bennett, 2005)"
Q3415693,"He Died with a Felafel in His Hand (Richard Lowenstein, 2001)"
Q2700562,"Head On (Ana Kokkinos, 1998)"
Q15039629,"Healing (Craig Monahan, 2014)"
Q15039741,"A Heartbeat Away (Gale Edwards, 2011)"
Q7739216,"The Heartbreak Kid (Michael Jenkins, 1993)"
Q73543245,"Hearts and Bones (Ben Lawrence, 2019)"
Q1516308,"Heaven's Burning (Craig Lahiff, 1997)"
Q127543723,The Heckler (2014)
Q4114646,"Hercules Returns (David Parker, 1993)"
Q5737257,"Here I Am (Beck Cole, 2011)"
Q5749159,"Hey, Hey, It's Esther Blueburger (Cathy Randall, 2008)"
Q87654420,"High Ground (Stephen Johnson, 2020)"
Q127600649,Hildegarde (2002)
Q20647417,"Holding the Man (Neil Armfield, 2015)"
Q5880596,"Holidays on the River Yarra (Leo Berkeley, 1991)"
Q143835,"Holy Smoke! (Jane Campion, 1999)"
